id,requirement_text,project,requirement_category,risk_type,probability,risk_magnitude,risk_impact,risk_dimension,requirement_affected,fixing,fix,fix_priority,req_aff_fix_affects
1,The system shall display all the products that can be configured.,Transaction Processing System,Functional,Budget,10,Negligible,high,Requirements,9,1,10,95.715385,5
2,The system shall allow user to select the product to configure.,Transaction Processing System,Functional,Quality,22,Very Low,catastrophic,Requirements,7,2,11,35.9,2
3,The system shall display all the available components of the product to configure,Transaction Processing System,Functional,Schedule,33,Low,high,User,5,1,3,35.692308,2
4,The system shall enable user to add one or more component to the configuration.,Transaction Processing System,Functional,Personal,40,Medium,moderate,Project complexity,D,3,2,44.1,3
5,The system shall notify the user about any conflict in the current configuration.,Transaction Processing System,Functional,Budget,100,High,Low,planning and control,4,2,1,85.776923,5
6,The system shall allow user to update the configuration to resolve conflict in the current configuration.,Transaction Processing System,Functional,Performance,55,Very High,insignificant,Team,6,4,4,56.453846,3
7,The system shall allow user to confirm the completion of current configuration,Transaction Processing System,Functional,FunctionalValidity,44,Extreme,moderate,Organizational Environment,2,1,2,41.530769,3
8,The system shall display detailed information of the selected products.,Transaction Processing System,Functional,Performance,67,High,high,User,5,2,1,61.261538,3
9,The system shall provide browsing options to see product details.,Transaction Processing System,Functional,FunctionalValidity,23,Medium,moderate,Project complexity,4,3,2,28.284615,2
10,The system shall display detailed product categorization to the user.,Transaction Processing System,Functional,Performance,12,Negligible,Low,User,3,4,1,18.223077,1
11,The system shall enable user to enter the search text on the screen.,Transaction Processing System,Functional,Quality,10,Very Low,moderate,User,2,5,2,17.692308,1
12,The system shall enable user to select multiple options on the screen to search.,Transaction Processing System,Functional,Performance,12,High,insignificant,Project complexity,1,2,1,15.707692,1
13,The system shall display all the matching products based on the search,Transaction Processing System,Functional,Quality,32,Very Low,moderate,User,2,1,2,31.538462,2
14,The system shall display only 10 matching result on the current screen.,Transaction Processing System,Functional,FunctionalValidity,22,Negligible,Low,Requirements,4,2,1,25.438462,2
15,The system shall enable user to navigate between the search results.,Transaction Processing System,Functional,FunctionalValidity,12,Very Low,insignificant,Requirements,3,1,3,17.707692,1
16,The system shall notify the user when no matching product is found on the search.,Transaction Processing System,Functional,Performance,78,Very High,high,Project complexity,1,3,2,68.553846,4
17,The system shall allow user to create profile and set his credential,Transaction Processing System,Functional,Performance,43,Medium,Low,User,3,4,1,42.376923,3
18,The system shall authenticate user credentials to view the profile,Transaction Processing System,Functional,FunctionalValidity,23,Low,Low,Requirements,2,2,2,25.630769,2
19,The system shall allow user to update the profile information,Transaction Processing System,Functional,FunctionalValidity,32,Medium,moderate,Requirements,4,1,3,34.4,2
20,The system shall enable user to select multiple options on the screen to search.,Transaction Processing System,Functional,FunctionalValidity,45,Medium,high,User,1,2,1,41.184615,3
21,The system shall display all the matching products based on the search,Transaction Processing System,Functional,Performance,21,Medium,Low,Requirements,3,4,2,26.476923,2
22,The system shall display only 10 matching result on the current screen.,Transaction Processing System,Functional,Quality,34,Very High,high,User,2,2,3,35.115385,2
23,The system shall enable user to navigate between the search results.,Transaction Processing System,Functional,Performance,54,Medium,catastrophic,User,3,3,21,65.907692,4
24,The system shall notify the user when no matching product is found on the search.,Transaction Processing System,Functional,Performance,21,Very High,high,User,1,1,1,22.107692,2
25,The system shall allow user to create profile and set his credential.,Transaction Processing System,Functional,Quality,24,Low,Low,planning and control,2,2,1,25.469231,2
26,The system shall authenticate user credentials to view the profile.,Transaction Processing System,Functional,FunctionalValidity,16,Medium,high,Requirements,2,7,1,23.746154,2
27,The system shall allow user to update the profile information.,Transaction Processing System,Functional,Performance,32,Very High,moderate,User,3,6,2,36.607692,2
28,The system shall display both the active and completed order history in the customer profile.,Transaction Processing System,Functional,FunctionalValidity,21,High,Low,Requirements,6,5,2,29.707692,2
29,The system shall allow user to select the order from the order history.,Transaction Processing System,Functional,FunctionalValidity,86,Very Low,Low,User,2,8,2,78.376923,4
30,The system shall display the detailed information about the selected order.,Transaction Processing System,Functional,FunctionalValidity,32,Medium,Low,Requirements,4,9,2,39.592308,2
31,The system shall display the most frequently searched items by the user in the profile.,Transaction Processing System,Functional,Performance,45,Medium,moderate,Requirements,3,10,2,49.746154,3
32,The system shall allow user to register for newsletters and surveys in the profile.,Transaction Processing System,Functional,FunctionalValidity,65,Low,Low,User,2,12,2,65.376923,4
33,The system shall provide online with FAQ’s customer support and sitemap options for customer support.,Transaction Processing System,Functional,Quality,100,Medium,Low,User,1,9,2,89.230769,5
34,The system shall allow user to select the support type he wants.,Transaction Processing System,Functional,FunctionalValidity,100,Medium,moderate,Requirements,3,7,2,89.784615,5
35,The system shall allow user to enter the customer and product information for the support.,Transaction Processing System,Functional,FunctionalValidity,76,Low,high,Requirements,4,5,1,69.784615,4
36,The system shall display the customer support contact numbers on the screen.,Transaction Processing System,Functional,FunctionalValidity,34,Medium,Low,Requirements,5,9,1,41.130769,3
37,The system shall allow user to enter the contact number for support personnel to call.,Transaction Processing System,Functional,FunctionalValidity,67,Medium,moderate,User,6,6,1,64.915385,4
38,The system shall display the online help upon request.,Transaction Processing System,Functional,Quality,87,Low,moderate,User,6,8,2,82.384615,5
39,The system shall display the FAQ�s upon request.,Transaction Processing System,Functional,FunctionalValidity,36,High,moderate,Requirements,2,7,1,39.130769,2
40,The system shall maintain customer email information as a required part of customer profile.,Transaction Processing System,Functional,Quality,78,Medium,moderate,Requirements,4,5,4,73.523077,4
41,The system shall send an order confirmation to the user through email.,Transaction Processing System,Functional,FunctionalValidity,97,High,moderate,Requirements,5,8,5,92.207692,5
42,The system shall display detailed invoice for current order once it is confirmed.,Transaction Processing System,Functional,Quality,87,Medium,moderate,Requirements,3,7,6,82.753846,5
43,The system shall optionally allow user to print the invoice.,Transaction Processing System,Functional,Performance,67,Low,Low,User,4,9,3,66.876923,4
44,The system shall provide shopping cart during online purchase.,Transaction Processing System,Functional,FunctionalValidity,89,Medium,Low,Requirements,2,6,4,81.130769,4
45,The system shall allow user to add/remove products in the shopping cart.,Transaction Processing System,Functional,FunctionalValidity,98,Medium,Low,Requirements,3,7,5,90.361538,5
46,The system shall display different shipping options provided by shipping department.,Transaction Processing System,Functional,FunctionalValidity,78,Medium,moderate,Requirements,2,8,3,73.630769,4
